,date,website,sport,fixture,country,league,market,selection,price,kickoff
0,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,winner,Osasuna,2.75,2017-04-22 17:30
1,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,winner,Gijon,2.88,2017-04-22 17:30
2,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,winner,Draw,3.75,2017-04-22 17:30
3,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Duje Cop,7.0,2017-04-22 17:30
4,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Sergio Leon,8.0,2017-04-22 17:30
5,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Kenan Kodro,8.0,2017-04-22 17:30
6,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Lacina Traore,8.0,2017-04-22 17:30
7,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Emmanuel Riviere,8.0,2017-04-22 17:30
8,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Carlos Castro,8.5,2017-04-22 17:30
9,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Borja Viguera,8.5,2017-04-22 17:30
10,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Oriol Riera,8.5,2017-04-22 17:30
11,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Roberto Torres,10.0,2017-04-22 17:30
12,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Any Other Player,10.0,2017-04-22 17:30
13,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Carlos Carmona,11.0,2017-04-22 17:30
14,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Burgui,11.0,2017-04-22 17:30
15,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Akram Afif,11.0,2017-04-22 17:30
16,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Aitor Lorea,13.0,2017-04-22 17:30
17,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Isma Lopez,13.0,2017-04-22 17:30
18,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Moi Gomez,14.0,2017-04-22 17:30
19,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Mario Fernandez,15.0,2017-04-22 17:30
20,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,No Goalscorer,15.0,2017-04-22 17:30
21,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Jaime Romero,15.0,2017-04-22 17:30
22,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,De las Cuevas,15.0,2017-04-22 17:30
23,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Fran Merida,15.0,2017-04-22 17:30
24,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Imanol Garcia,17.0,2017-04-22 17:30
25,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Luis Perea,17.0,2017-04-22 17:30
26,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Goran Causic,19.0,2017-04-22 17:30
27,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Ruben Sanchez,19.0,2017-04-22 17:30
28,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Victor Rodriguez,21.0,2017-04-22 17:30
29,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Dani Ndi,21.0,2017-04-22 17:30
30,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Raoul Loe,21.0,2017-04-22 17:30
31,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Otegui,21.0,2017-04-22 17:30
32,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Nacho Cases,23.0,2017-04-22 17:30
33,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Fausto,23.0,2017-04-22 17:30
34,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Olavide,26.0,2017-04-22 17:30
35,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Alex Berenguer,31.0,2017-04-22 17:30
36,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Xavi Torres,32.0,2017-04-22 17:30
37,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Mikel Vesga,32.0,2017-04-22 17:30
38,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,David Garcia,34.0,2017-04-22 17:30
39,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Douglas,41.0,2017-04-22 17:30
40,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Elderson Echiejile,41.0,2017-04-22 17:30
41,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Jean-Sylvain Babin,41.0,2017-04-22 17:30
42,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Fernando Amorebieta,41.0,2017-04-22 17:30
43,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Alberto Lora,41.0,2017-04-22 17:30
44,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Cristian Salvador,41.0,2017-04-22 17:30
45,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Javier Flano,41.0,2017-04-22 17:30
46,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Juan Rodriguez,41.0,2017-04-22 17:30
47,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Oier,41.0,2017-04-22 17:30
48,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Ivan Marquez,41.0,2017-04-22 17:30
49,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Juan Perez,41.0,2017-04-22 17:30
50,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Miguel Flano,41.0,2017-04-22 17:30
51,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Unai Garcia,41.0,2017-04-22 17:30
52,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Sergio Alvarez,51.0,2017-04-22 17:30
53,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Carlos Clerc,51.0,2017-04-22 17:30
54,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Bunuel,51.0,2017-04-22 17:30
55,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Jorge Mere,51.0,2017-04-22 17:30
56,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Fuentes,51.0,2017-04-22 17:30
57,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Lillo,51.0,2017-04-22 17:30
58,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Roberto Canella,51.0,2017-04-22 17:30
59,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,first-goalscorer,Nikola Vujadinovic,71.0,2017-04-22 17:30
60,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,both-teams-to-score,Yes,1.61,2017-04-22 17:30
61,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,both-teams-to-score,No,2.6,2017-04-22 17:30
62,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Draw 1-1,7.75,2017-04-22 17:30
63,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 2-1,11.0,2017-04-22 17:30
64,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 2-1,11.0,2017-04-22 17:30
65,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 1-0,12.0,2017-04-22 17:30
66,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 1-0,12.0,2017-04-22 17:30
67,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Draw 2-2,13.5,2017-04-22 17:30
68,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Draw 0-0,16.0,2017-04-22 17:30
69,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 2-0,17.0,2017-04-22 17:30
70,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 2-0,17.0,2017-04-22 17:30
71,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 3-1,21.0,2017-04-22 17:30
72,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 3-1,21.0,2017-04-22 17:30
73,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Any Other Score,23.0,2017-04-22 17:30
74,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 3-2,26.0,2017-04-22 17:30
75,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 3-2,26.0,2017-04-22 17:30
76,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 3-0,34.0,2017-04-22 17:30
77,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 3-0,36.0,2017-04-22 17:30
78,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Draw 3-3,46.0,2017-04-22 17:30
79,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 4-1,56.0,2017-04-22 17:30
80,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 4-1,61.0,2017-04-22 17:30
81,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 4-2,71.0,2017-04-22 17:30
82,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 4-2,81.0,2017-04-22 17:30
83,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 4-0,91.0,2017-04-22 17:30
84,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 4-0,91.0,2017-04-22 17:30
85,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 4-3,131.0,2017-04-22 17:30
86,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 4-3,151.0,2017-04-22 17:30
87,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 5-1,176.0,2017-04-22 17:30
88,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 5-1,176.0,2017-04-22 17:30
89,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 5-2,201.0,2017-04-22 17:30
90,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 7-2,201.0,2017-04-22 17:30
91,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 7-2,201.0,2017-04-22 17:30
92,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 5-2,226.0,2017-04-22 17:30
93,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Draw 4-4,261.0,2017-04-22 17:30
94,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 5-0,326.0,2017-04-22 17:30
95,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 5-3,326.0,2017-04-22 17:30
96,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 5-0,326.0,2017-04-22 17:30
97,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 5-3,326.0,2017-04-22 17:30
98,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 6-3,376.0,2017-04-22 17:30
99,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 6-3,376.0,2017-04-22 17:30
100,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 6-2,401.0,2017-04-22 17:30
101,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 6-2,401.0,2017-04-22 17:30
102,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Draw 5-5,476.0,2017-04-22 17:30
103,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 10-0,501.0,2017-04-22 17:30
104,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 5-4,501.0,2017-04-22 17:30
105,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 6-0,501.0,2017-04-22 17:30
106,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 6-1,501.0,2017-04-22 17:30
107,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 7-0,501.0,2017-04-22 17:30
108,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 7-1,501.0,2017-04-22 17:30
109,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 8-0,501.0,2017-04-22 17:30
110,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 8-1,501.0,2017-04-22 17:30
111,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Gijon 9-0,501.0,2017-04-22 17:30
112,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 10-0,501.0,2017-04-22 17:30
113,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 5-4,501.0,2017-04-22 17:30
114,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 6-0,501.0,2017-04-22 17:30
115,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 6-1,501.0,2017-04-22 17:30
116,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 7-0,501.0,2017-04-22 17:30
117,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 7-1,501.0,2017-04-22 17:30
118,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 8-0,501.0,2017-04-22 17:30
119,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 8-1,501.0,2017-04-22 17:30
120,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,correct-score,Osasuna 9-0,501.0,2017-04-22 17:30
121,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Osasuna/Osasuna,4.6,2017-04-22 17:30
122,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Gijon/Gijon,4.75,2017-04-22 17:30
123,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Draw/Draw,6.1,2017-04-22 17:30
124,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Draw/Gijon,6.7,2017-04-22 17:30
125,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Draw/Osasuna,6.8,2017-04-22 17:30
126,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Gijon/Draw,16.0,2017-04-22 17:30
127,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Osasuna/Draw,16.0,2017-04-22 17:30
128,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Osasuna/Gijon,36.0,2017-04-22 17:30
129,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,half-time-full-time,Gijon/Osasuna,36.0,2017-04-22 17:30
130,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Duje Cop,2.95,2017-04-22 17:30
131,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Sergio Leon,3.1,2017-04-22 17:30
132,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Lacina Traore,3.2,2017-04-22 17:30
133,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Carlos Castro,3.2,2017-04-22 17:30
134,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Emmanuel Riviere,3.3,2017-04-22 17:30
135,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Oriol Riera,3.3,2017-04-22 17:30
136,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Kenan Kodro,3.45,2017-04-22 17:30
137,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Borja Viguera,3.6,2017-04-22 17:30
138,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Any Other Player,4.0,2017-04-22 17:30
139,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Carlos Carmona,4.2,2017-04-22 17:30
140,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Burgui,4.2,2017-04-22 17:30
141,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Akram Afif,4.2,2017-04-22 17:30
142,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Roberto Torres,4.25,2017-04-22 17:30
143,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Victor Rodriguez,4.33,2017-04-22 17:30
144,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Jaime Romero,4.5,2017-04-22 17:30
145,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Aitor Lorea,4.75,2017-04-22 17:30
146,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Isma Lopez,5.1,2017-04-22 17:30
147,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Mario Fernandez,5.5,2017-04-22 17:30
148,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Moi Gomez,5.75,2017-04-22 17:30
149,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Fran Merida,6.0,2017-04-22 17:30
150,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Luis Perea,6.0,2017-04-22 17:30
151,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,De las Cuevas,6.5,2017-04-22 17:30
152,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Alex Berenguer,6.5,2017-04-22 17:30
153,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Imanol Garcia,6.75,2017-04-22 17:30
154,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Goran Causic,7.0,2017-04-22 17:30
155,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Ruben Sanchez,7.0,2017-04-22 17:30
156,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Dani Ndi,7.5,2017-04-22 17:30
157,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Raoul Loe,7.5,2017-04-22 17:30
158,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Nacho Cases,8.5,2017-04-22 17:30
159,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Fausto,8.5,2017-04-22 17:30
160,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Olavide,9.5,2017-04-22 17:30
161,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Otegui,9.5,2017-04-22 17:30
162,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Xavi Torres,12.5,2017-04-22 17:30
163,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Mikel Vesga,12.5,2017-04-22 17:30
164,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Miguel Flano,13.0,2017-04-22 17:30
165,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,David Garcia,14.5,2017-04-22 17:30
166,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Douglas,15.0,2017-04-22 17:30
167,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Elderson Echiejile,15.0,2017-04-22 17:30
168,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Jean-Sylvain Babin,15.0,2017-04-22 17:30
169,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Fernando Amorebieta,15.0,2017-04-22 17:30
170,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Cristian Salvador,15.0,2017-04-22 17:30
171,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Oier,15.0,2017-04-22 17:30
172,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Alberto Lora,15.0,2017-04-22 17:30
173,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Javier Flano,15.0,2017-04-22 17:30
174,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Juan Rodriguez,15.0,2017-04-22 17:30
175,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Ivan Marquez,15.0,2017-04-22 17:30
176,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Juan Perez,15.0,2017-04-22 17:30
177,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,Unai Garcia,15.0,2017-04-22 17:30
178,2017-04-22 15:55,www.oddschecker.com,football,osasuna-v-gijon,spain,la-liga-primera,anytime-goalscorer,No Goalscorer,16.0,2017-04-22 17:30
